#{"t_start": 1775412610.25416, "env_id": "None"}
r,l,t,raw_score,sequence_length
96.60653,16,11406.303631,0.9660653043502937,16
77.49198,32,11441.583346,0.7749198166573238,32
111.55754,16,11477.663146,1.115575386521784,16
98.20863,16,11512.948615,0.9820863399207783,16
49.586475,16,11546.569432,0.4958647381654936,16
85.770256,8,11580.97496,0.8577025415987222,8
58.811523,8,11616.815512,0.5881152274545179,8
54.173904,16,11652.943922,0.5417390465252787,16
101.28538,32,11687.142845,1.0128537776396398,32
76.49028,32,11722.959918,0.7649028360019384,32
96.90474,8,11759.064905,0.969047386509857,8
112.433975,32,11792.370581,1.1243397825071055,32
116.75559,16,11829.311162,1.1675559199807575,16
79.0153,16,11863.932129,0.7901529489760608,16
107.15144,16,11898.749478,1.0715143995717118,16
0.0,4,11898.765115,0.0,4
119.96757,4,11935.477178,1.1996756942136284,4
108.29167,4,11970.777229,1.0829167303604201,4
119.997284,4,12006.780515,1.199972815086073,4
76.50483,32,12043.448537,0.7650483311542385,32
61.69439,16,12079.965547,0.6169438868682662,16
118.71298,8,12115.182632,1.1871298372694612,8
112.71969,8,12149.242289,1.1271968974140212,8
89.98042,16,12184.268075,0.8998042246802795,16
71.86465,4,12219.755692,0.7186465026931353,4
116.25314,32,12254.75209,1.1625314648202068,32
100.39664,32,12290.193192,1.0039663590364214,32
119.812996,16,12325.606971,1.1981299921516464,16
98.56663,4,12360.976292,0.9856662935292266,4
68.48551,16,12395.126055,0.6848550964483622,16
94.87375,4,12429.778415,0.9487374556003499,4
119.28938,32,12463.928396,1.1928938227875896,32
95.95629,8,12499.932992,0.959562885654155,8
109.30356,8,12535.619313,1.0930355760725456,8
119.46106,16,12570.533598,1.1946106237199303,16
119.67278,8,12604.904426,1.1967278368191014,8
57.25726,4,12639.783541,0.5725725873711256,4
108.887856,16,12675.610385,1.0888785878865224,16
0.0,4,12675.638794,0.0,4
101.75901,8,12711.517337,1.0175900823485884,8
77.0538,8,12746.360429,0.7705379876892204,8
0.0,4,12746.375372,0.0,4
45.416454,32,12781.188758,0.4541645431834612,32
98.92732,32,12817.02811,0.9892732149966337,32
118.96467,32,12852.994313,1.1896466857235022,32
119.60424,8,12888.819558,1.1960424018034084,8
86.85813,32,12924.730519,0.8685813435512804,32
119.861755,4,12960.565914,1.1986175672154187,4
39.372475,8,12995.821119,0.39372474842072064,8
0.0,8,12996.607315,0.0,8
116.470345,8,13033.026385,1.1647034124416538,8
104.74762,16,13069.409777,1.0474762253462893,16
106.06306,8,13105.831241,1.0606305910734177,8
119.149704,4,13140.010528,1.1914970101580507,4
102.78388,16,13175.127169,1.0278388486941141,16
92.53847,4,13211.506499,0.9253846550953612,4
75.18335,16,13247.392111,0.7518334701501762,16
119.80501,32,13283.599175,1.1980500616643917,32
69.19995,16,13318.238485,0.6919995189830126,16
100.77971,8,13352.367725,1.0077971088273006,8
119.85979,8,13386.283209,1.1985978949603138,8
89.56483,8,13421.021347,0.8956482781916655,8
119.84395,4,13456.62448,1.1984394783781755,4
96.51439,16,13491.297172,0.9651438558854791,16
117.99499,32,13528.2282,1.1799499067295385,32
109.22007,4,13562.7019,1.0922006967872144,4
2.0270462,32,13597.346502,0.020270461524929177,32
119.9316,16,13632.534509,1.1993160044620026,16
88.08503,16,13668.186046,0.8808503264555971,16
100.45469,16,13703.524598,1.0045469227054824,16
111.70121,16,13738.922657,1.117012065788884,16
96.600716,32,13774.086115,0.9660071723065915,32
99.43155,32,13809.247488,0.9943155226558823,32
63.40793,32,13844.934687,0.634079272902968,32
93.326675,4,13879.283444,0.9332667680357317,4
100.849785,16,13915.239758,1.008497825859693,16
111.003265,4,13950.060774,1.1100326231114932,4
119.50411,32,13985.22281,1.1950411042099143,32
112.22769,16,14021.152501,1.1222769191104545,16
103.608955,8,14056.047419,1.03608958226501,8
69.28921,32,14091.513159,0.692892063257802,32
49.81731,16,14127.604387,0.4981730976650846,16
0.0,4,14127.622615,0.0,4
112.064865,32,14164.017344,1.120648665975778,32
90.505455,32,14201.331095,0.9050545615723689,32
119.285095,32,14236.682419,1.192850947271029,32
70.11419,4,14272.554303,0.7011419203461609,4
116.01892,16,14308.696979,1.160189213142734,16
103.346985,8,14343.655587,1.033469865456059,8
47.12405,32,14378.885847,0.47124052013218626,32
0.0,4,14378.918234,0.0,4
118.939606,32,14415.437006,1.1893960234379797,32
102.7147,32,14451.605492,1.0271470179657902,32
102.38865,4,14486.578928,1.0238864768123905,4
70.111206,16,14522.963109,0.7011120809229019,16
119.89167,4,14558.118289,1.1989166779880145,4
118.4843,32,14593.937514,1.1848429763402353,32
105.62446,8,14631.0943,1.056244568728354,8
119.24426,16,14666.768269,1.192442655213549,16
113.64765,16,14702.891252,1.1364764882202916,16
77.447945,16,14737.201278,0.7744794840119182,16
76.25682,32,14773.020468,0.7625681831079364,32
31.94817,16,14808.981133,0.31948169387437503,16
0.0,4,14808.996604,0.0,4
119.77239,16,14845.407692,1.197723903143147,16
119.90903,4,14882.24325,1.1990902747750198,4
70.60921,16,14917.153478,0.7060920698545767,16
107.465805,16,14954.004163,1.0746580327241726,16
98.25965,32,14989.253602,0.9825965470546448,32
105.43587,16,15024.529047,1.054358641980135,16
69.845726,16,15059.650471,0.6984572654677818,16
113.299255,32,15095.033211,1.132992558563992,32
87.077225,16,15130.593334,0.8707722336452243,16
119.96905,4,15165.520312,1.1996904566912756,4
113.15011,4,15201.680043,1.1315010487962511,4
88.58916,32,15238.31713,0.8858915589407091,32
119.73696,8,15270.942748,1.197369617776968,8
85.0982,16,15307.065235,0.8509819982456696,16
100.18715,32,15341.623218,1.0018714720268793,32
107.05534,32,15376.952991,1.0705534083205692,32
75.23883,4,15412.949691,0.7523882675876544,4
82.84761,16,15448.208688,0.8284761136929297,16
113.750275,8,15484.429657,1.1375027714484607,8
93.2523,16,15518.890657,0.9325229983437531,16
111.964325,32,15555.080856,1.1196432129744958,32
0.0,16,15590.647199,0.0,16
118.51835,4,15625.388521,1.185183491703411,4
78.53952,4,15661.485691,0.7853951664458885,4
51.006855,4,15696.52449,0.5100685523361819,4
119.8366,8,15732.022354,1.1983660400734761,8
73.226845,8,15767.124661,0.7322684716424733,8
50.993313,16,15803.045987,0.5099331169697723,16
64.63395,4,15838.995059,0.646339530865866,4
96.82891,8,15873.132695,0.9682890994000409,8
86.18848,16,15910.770253,0.8618847534217073,16
116.64192,16,15946.288197,1.1664192104712612,16
77.71275,32,15981.569621,0.7771275291594575,32
45.31386,4,16015.699616,0.45313861134753597,4
109.75366,32,16051.264047,1.0975366432120528,32
95.6457,32,16087.598467,0.9564570167765808,32
118.759636,16,16123.637607,1.187596390206967,16
47.781395,32,16159.165602,0.47781395543853267,32
77.17648,4,16195.95736,0.7717648292764918,4
86.72969,4,16229.750173,0.8672969177334761,4
111.94278,16,16264.763814,1.1194277665086068,16
105.15672,32,16301.207306,1.0515672131122298,32
70.213806,4,16337.375894,0.7021380436942066,4
102.63374,16,16373.693028,1.0263374295570473,16
83.05972,32,16410.553375,0.8305972498800896,32
77.70158,8,16445.266298,0.7770157755879075,8
96.3132,16,16481.443286,0.9631319847933959,16
117.934875,4,16517.039172,1.1793487844109103,4
101.461136,8,16553.015162,1.014611320667289,8
0.0,16,16587.63642,0.0,16
116.74136,32,16623.715054,1.16741365257893,32
82.5476,32,16659.877732,0.8254760278207207,32
119.98688,4,16694.943819,1.1998688020819324,4
85.41899,32,16730.362983,0.8541899365600637,32
119.98158,8,16766.356606,1.1998158172153464,8
96.98215,4,16803.560047,0.9698214659523859,4
98.68284,4,16839.530627,0.9868283506115623,4
119.725464,8,16876.449843,1.1972546447147456,8
87.19303,16,16911.734695,0.8719302954510283,16
105.55591,8,16945.961778,1.0555590991503117,8
119.89173,4,16982.648427,1.1989172973870674,4
113.854416,32,17019.135829,1.138544127757885,32
119.94044,4,17056.597166,1.1994043922363575,4
119.020096,32,17093.963937,1.1902009701089986,32
0.0,32,17129.6453,0.0,32
114.84061,32,17163.361532,1.148406078579151,32
111.76849,4,17198.961072,1.1176849347212605,4
32.799767,4,17234.762215,0.3279976692824956,4
120.00123,16,17270.073335,1.20001231912811,16
104.572075,32,17305.809112,1.0457207448948573,32
113.933235,32,17343.29214,1.1393323874726002,32
119.04115,32,17379.495913,1.1904115365652546,32
119.9417,16,17415.823977,1.1994170426874553,16
0.0,4,17415.850652,0.0,4
116.35514,16,17451.038455,1.1635514352910974,16
54.932327,16,17486.627496,0.5493232888207839,16
119.93666,4,17523.64593,1.199366629235017,4
67.60782,8,17560.006437,0.6760782064528711,8
118.9547,16,17597.582846,1.1895469787486668,16
92.94841,16,17633.229475,0.9294841077777677,16
102.52286,8,17668.48283,1.0252286089403009,8
0.0,32,17705.025218,0.0,32
0.0,4,17705.046684,0.0,4
0.0,8,17705.771687,0.0,8
113.35544,4,17740.016098,1.1335543769582905,4
56.176792,16,17776.132654,0.5617679243442161,16
113.22924,8,17812.747729,1.1322923974665693,8
114.59194,16,17848.731676,1.1459194424920343,16
0.0,8,17848.777475,0.0,8
0.0,4,17848.791289,0.0,4
119.11964,4,17884.066144,1.1911963833453463,4
56.6642,4,17919.433992,0.5666419964665688,4
119.98633,4,17954.973066,1.1998632706086438,4
112.28938,32,17991.123679,1.1228938403905455,32
85.7493,32,18026.787603,0.8574930146090528,32
96.38194,4,18061.582774,0.9638194164243473,4
111.88218,8,18098.115789,1.1188217741202588,8
119.73471,8,18133.885963,1.197347081905181,8
82.1338,16,18170.38122,0.8213379600191048,16
78.16457,8,18206.746784,0.7816457492307828,8
94.10941,32,18242.173162,0.941094109175476,32
119.001884,8,18279.66545,1.1900188405493686,8
69.88708,32,18316.339122,0.6988707761498748,32
110.498436,32,18353.543687,1.104984367105004,32
119.64581,8,18388.394604,1.1964581326697161,8
98.57114,8,18424.73108,0.985711337978332,8
0.0,32,18462.596468,0.0,32
94.12088,16,18499.518127,0.9412087800132539,16
116.45772,4,18534.967192,1.1645772023945782,4
119.79015,16,18571.971128,1.197901542493671,16
119.80753,8,18606.304711,1.1980753582383323,8
119.85667,32,18643.486845,1.1985666941351267,32
104.32593,32,18679.364384,1.0432592822322282,32
111.11439,8,18715.592969,1.1111438659214414,8
115.65941,4,18751.447994,1.1565940922579379,4
118.196594,8,18788.103877,1.1819659721129177,8
0.0,4,18788.120888,0.0,4
115.347565,16,18824.380215,1.1534756596403175,16
98.434746,4,18860.219144,0.9843474792387309,4
93.11022,32,18896.067043,0.9311022413569037,32
96.75394,16,18932.283463,0.9675393557131449,16
62.776844,8,18968.826062,0.6277684260638333,8
70.814354,4,19005.219596,0.7081435655474496,4
77.53351,16,19041.172759,0.775335073856342,16
18.346247,16,19077.688015,0.18346246284875578,16
92.28024,8,19112.436752,0.9228024397032829,8
119.70455,16,19148.247884,1.1970455247893812,16
68.521416,32,19184.779348,0.6852141741386597,32
99.89916,32,19220.914174,0.9989916250391,32
93.19363,16,19256.95552,0.9319362429180407,16
119.689476,4,19293.017129,1.1968947857967818,4
101.8339,8,19328.850524,1.0183390109404398,8
71.622826,32,19365.703785,0.7162282850202936,32
97.38997,8,19402.105526,0.9738996729842998,8
114.55075,32,19437.569968,1.1455074775975949,32
111.9672,32,19473.792358,1.119672048355483,32
76.53603,32,19511.179859,0.7653603419752767,32
